Opportunity Name,Actual Ship Date,Product Family,Quantity,Site Street,Site City,Site State,Site Zip/Postal Code,Site Country,Industry
FedEx Freight - SEA WA,6/6/2017,Alpha,2,6250 South 228th Street,Kent,WA,98032,USA,Trucking
FedEx Freight - SEA WA,6/6/2017,Alpha,2,6250 South 228th Street,Kent,WA,98032,USA,Trucking
FedEx Freight - SEA WA,6/6/2017,Operator,4,6250 South 228th Street,Kent,WA,98032,USA,Trucking
BC Hydro - N. Vancouver,,PDXT,1,630 Brooksbank Ave,Vancouver,BC,V7J 3V1,Canada,Water/Hydro Plant
Armstrong - Mississauga,,Delta,2,630 Secretariat Court,Mississauga,ON,L5S 2A5,Canada,Storage Facility
Alliston - Depot #1,7/6/2018,Access CONrol Accessories,1,6375 14th Line,Alliston,ON,L9R 1V4,Canada,Commercial/Industrial
Alliston - Depot #1,7/6/2018,Delta,1,6375 14th Line,Alliston,ON,L9R 1V4,Canada,Commercial/Industrial
Alliston - Depot #1,7/6/2018,,1,6375 14th Line,Alliston,ON,L9R 1V4,Canada,Commercial/Industrial
Alliston - Depot #1,7/6/2018,,1,6375 14th Line,Alliston,ON,L9R 1V4,Canada,Commercial/Industrial
Alliston - Depot #1,7/6/2018,,1,6375 14th Line,Alliston,ON,L9R 1V4,Canada,Commercial/Industrial
Purileaf- Niagara Falls,6/29/2018,Access CONrol Accessories,2,6471 Kister Rd.,Niagara Falls,ON,L2E 6X8,Canada,Commercial/Industrial
Purileaf- Niagara Falls,6/29/2018,,8,6471 Kister Rd.,Niagara Falls,ON,L2E 6X8,Canada,Commercial/Industrial
Purileaf- Niagara Falls,6/29/2018,Alpha,1,6471 Kister Rd.,Niagara Falls,ON,L2E 6X8,Canada,Commercial/Industrial
