Opportunity Name,Actual Ship Date,Product Family,Quantity,Site Street,Site City,Site State,Site Zip/Postal Code,Site Country,Industry
NTT- HI1,8/14/2020,Access CONrol Accessories,2,4050 Evergreen Road,Hillsboro,OR,97124,USA,Data Center
NTT- HI1,8/14/2020,,2,4050 Evergreen Road,Hillsboro,OR,97124,USA,Data Center
NTT- HI1,8/14/2020,PDXT,2,4050 Evergreen Road,Hillsboro,OR,97124,USA,Data Center
NTT- HI1,8/14/2020,Fold Hardware,2,4050 Evergreen Road,Hillsboro,OR,97124,USA,Data Center
Stanislaus County Public Safety Center,8/3/2016,PDTT,4,4061 E. Castro Valley Blvd,Castro Valley,CA,94552,USA,Criminal Justice
Stanislaus County Public Safety Center,8/3/2016,,1,4061 E. Castro Valley Blvd,Castro Valley,CA,94552,USA,Criminal Justice
Stanislaus County Public Safety Center,8/3/2016,,4,4061 E. Castro Valley Blvd,Castro Valley,CA,94552,USA,Criminal Justice
P.S - Kitchener,,Delta,1,409 Weber Street W,Kitchener,ON,N2H 4B1,Canada,Storage Facility
Fairfax County Police (2008),,PDXT,2,4100 Chain Bridge Road,Fairfax,VA,22030,USA,Police
Long Beach Airport 1 Alpha,2/2/2017,Alpha,1,4100 Donald Douglas Dr,Long Beach,CA,90808,USA,Aviation
Long Beach Airport 1 Alpha,2/2/2017,Operator,1,4100 Donald Douglas Dr,Long Beach,CA,90808,USA,Aviation
Long Beach Perimeter Security Improvements,,Alpha,3,4100 Donald Douglas Drive,Riverside,CA,90808,USA,Aviation
Long Beach Airport - Alpha,,Alpha,1,4100 E Donald Douglas Dr,Long Beach,CA,90808,USA,Aviation
Long Beach Airport - PDXT (2013),,PDXT,1,4100 E Donald Douglas Dr,Long Beach,CA,90808,USA,Aviation
"Fedex Freight - Jackson, OH",2/2/2017,FSXT,4,415 South Bailt,Jackson,OH,,USA,Trucking
"Fedex Freight - Jackson, OH",2/2/2017,FSXT,2,415 South Bailt,Jackson,OH,,USA,Trucking
Horry County Phase I (2008),,PDTT,3,4150 J Reuben Long Ave,Conway,SC,29526,USA,Criminal Justice
Horry County Phase II (2010),,PDTT,1,4150 J Reuben Long Ave,Conway,SC,29526,USA,Criminal Justice
Horry County Phase II (2010),,PDTT,2,4150 J Reuben Long Ave,Conway,SC,29526,USA,Criminal Justice
Westmount - Manor St,,Delta,1,4240 Manor Street,Burnaby,BC,V5G 1B2,Canada,Storage Facility
CS Cast - 24x8 Alpha Gate,1/19/2018,Heras Hardware,1,4248 Broughton Avenue,Niagara Falls,ON,L2E 3K6,Canada,Commercial/Industrial
CS Cast - 24x8 Alpha Gate,1/19/2018,Alpha,1,4248 Broughton Avenue,Niagara Falls,ON,L2E 3K6,Canada,Commercial/Industrial
Monroe Correctional,,PDTT,1,4250 Manor DR,Stroudsberg,PA,18360,USA,Criminal Justice
"FedEx Freight - Burnaby, BC",,Alpha,1,4270 Dawson Street,Burnaby,BC,V5C 4B1,Canada,Trucking
"FedEx Freight - Burnaby, BC",,Alpha,1,4270 Dawson Street,Burnaby,BC,V5C 4B1,Canada,Trucking
Silicates- Folding Gate,12/7/2018,Access CONrol Accessories,1,429 Kipling Ave,ON,ON,,Canada,Commercial/Industrial
Silicates- Folding Gate,12/7/2018,Pedestrian Gate,1,429 Kipling Ave,ON,ON,,Canada,Commercial/Industrial
Silicates- Folding Gate,12/7/2018,,4,429 Kipling Ave,ON,ON,,Canada,Commercial/Industrial
Silicates- Folding Gate,12/7/2018,,6,429 Kipling Ave,ON,ON,,Canada,Commercial/Industrial
Silicates- Folding Gate,12/7/2018,,50,429 Kipling Ave,ON,ON,,Canada,Commercial/Industrial
Silicates- Folding Gate,12/7/2018,,70,429 Kipling Ave,ON,ON,,Canada,Commercial/Industrial
Silicates- Folding Gate,12/7/2018,FSXT,1,429 Kipling Ave,ON,ON,,Canada,Commercial/Industrial
IAD 62,5/13/2016,PDXT,1,42949 Fadeley Lane,Sterling,VA,20166,USA,Data Center
Bonneybrook WWTP,10/6/2017,FSXT,1,4302 15 St SE,Calgary,AB,T2G 3M7,Canada,WWTP
Access Storage - Burlington,,Delta,1,4305 Fairview St,Burlington,ON,L7L 2A4,Canada,Storage Facility
Tilray- 16x8ft Alpha,2/6/2018,Operator Parts,2,4376 Lasalle Line,Petrolia,ON,N0N 1R0,Canada,Commercial/Industrial
Tilray- 16x8ft Alpha,2/6/2018,Heras Hardware,1,4376 Lasalle Line,Petrolia,ON,N0N 1R0,Canada,Commercial/Industrial
Tilray- 16x8ft Alpha,2/6/2018,Heras Hardware,1,4376 Lasalle Line,Petrolia,ON,N0N 1R0,Canada,Commercial/Industrial
Tilray- 16x8ft Alpha,2/6/2018,Heras Hardware,1,4376 Lasalle Line,Petrolia,ON,N0N 1R0,Canada,Commercial/Industrial
Tilray- 16x8ft Alpha,2/6/2018,Heras Hardware,1,4376 Lasalle Line,Petrolia,ON,N0N 1R0,Canada,Commercial/Industrial
Tilray- 16x8ft Alpha,2/6/2018,Alpha,1,4376 Lasalle Line,Petrolia,ON,N0N 1R0,Canada,Commercial/Industrial
Tilray- 16x8ft Alpha,2/6/2018,Operator,1,4376 Lasalle Line,Petrolia,ON,N0N 1R0,Canada,Commercial/Industrial
Nanaimo Gate Replacement,11/22/2017,Delta,1,4388 Wellington Rd,Nanaimo,BC,V9T2H3,Canada,Storage Facility
Nanaimo Gate Replacement,11/22/2017,Operator,1,4388 Wellington Rd,Nanaimo,BC,V9T2H3,Canada,Storage Facility
Nanaimo Gate Replacement,11/22/2017,Heras Hardware,1,4388 Wellington Rd,Nanaimo,BC,V9T2H3,Canada,Storage Facility
Lihue Baseyard Improvements - Kauai Department of Water,,Delta,1,4398 Pao Loke St,Lihue,HI,96766,USA,Water/Hydro Plant
BC Hydro - Victoria,,PDXT,1,4400 West Saanich Road,Victoria,BC,V8Z 3E9,Canada,Water/Hydro Plant
Speedy Transport,7/27/2018,FSXT,2,4414 Castleton Rd,London,ON,N5V 1T9,Canada,Commercial/Industrial
Pedestal Head,,Access CONrol Accessories,1,4416 64 Ave SE #1121,Calgary,AB,,T2C 2B3,Commercial/Industrial
Condensate Stabilitzation Facility (2015),,FSXT,1,44200 Cadiz-Steubenville Road,Cadiz,OH,43907,USA,Commercial/Industrial
Prince George - Delta,,Delta,1,4422 KiMBall Road,Prince George,BC,V2N 5N7,Canada,Storage Facility
Prince George - Delta,,Operator,1,4422 KiMBall Road,Prince George,BC,V2N 5N7,Canada,Storage Facility
MONerey Salinas Transit (2012),,PDXT,3,443 Victor Way,Salinas,CA,93907,USA,Public Transportation
Apple Storage - Dieppe,,Alpha,1,444 Adelard-Savoie Boulevard,Dieppe,NB,E1A 7E6,Canada,Storage Facility
BC Hyrdo- Progressive (2009),,PDXT,1,4440 West Saanich Rd,Victoria,BC,V8Z 3E9,Canada,Water/Hydro Plant
IAD 78,,PDXT,2,44862 Interconnection Place,Manassas Park,VA,20147,USA,Fulfillment Centers
Pendleton Reformatory - (2006),,PDTT,2,4490 W. Reformatory Rd.,Pendleton,IN,460064,USA,Criminal Justice
Fluke Transport - Alpha,12/21/2017,Alpha,1,450 Sherman Street North,Hamilton,ON,L8L 8J6,Canada,Trucking
Marion Pen - PDTT,,PDTT,2,4500 Prison Road,Marion,IL,62959,USA,Criminal Justice
West Ox Animal Shelter (2012),,PDXT,1,4500 West Ox rd,Fairfax,VA,22030,USA,Commercial/Industrial
IAD 10,,PDXT,2,45360 West Severn Way,Manassas Park,VA,20166,USA,Fulfillment Centers
Canada Post - Gateway Gate Refurbishment,11/18/2017,,3,4567 Dixie Rd,Mississauga,ON,L4W 1S2,Canada,Government Facilities
Canada Post - Gateway Gate Refurbishment,11/18/2017,PDXT,1,4567 Dixie Rd,Mississauga,ON,L4W 1S2,Canada,Government Facilities
Canada Post -Mississauga,,PDXT,5,4567 Dixie Road,Mississauga,ON,L4W 1S2,Canada,Government Facilities
Zoom Zoom - Burlington,,FSXT,2,4584 Palladium Way,Burlington,ON,L7M 0W9,Canada,Storage Facility
Argo land Phase 2 - Fold Smart,12/8/2017,FSXT,1,4585 Palladium Way,Burlington,ON,L7M 0V6,Canada,Storage Facility
Thomas Crossing Townhouse Chiliwack,12/22/2017,FSXT,2,46110 Thomas Rd,Chiliwack,BC,V2R,Canada,Commercial/Industrial
Southern Folger Yard Gate,1/9/2017,Gate Hardware,1,4634 S Presa St,San Antonio,TX,8223,USA,Commercial/Industrial
Southern Folger Yard Gate,1/9/2017,PDXT,1,4634 S Presa St,San Antonio,TX,8223,USA,Commercial/Industrial
Apple Self Storage - Niagara Falls,,Delta,1,4655 Kent Avenue,Niagara Falls,ON,L2H 1J3,Canada,Storage Facility
Storage Mart - Calgary,,Delta,1,"4687 Barlow Trail SE,",Calgary,AB,T2B 3T6,Canada,Storage Facility
Metro at Fireclay,2/5/2018,Heras Hardware,1,47 West Fireclay Avenue,Salt Lake City,UT,84107,USA,Commercial/Industrial
Metro at Fireclay,2/5/2018,Heras Hardware,1,47 West Fireclay Avenue,Salt Lake City,UT,84107,USA,Commercial/Industrial
Metro at Fireclay,2/5/2018,Alpha,1,47 West Fireclay Avenue,Salt Lake City,UT,84107,USA,Commercial/Industrial
Metro at Fireclay,2/5/2018,Operator,1,47 West Fireclay Avenue,Salt Lake City,UT,84107,USA,Commercial/Industrial
West Loudoun Station,,PDXT,2,47 West Loudoun Street,Round Hill,VA,20142,USA,Police
TTRLY- Don Yard,3/5/2019,PDXT,1,470 Lake Shore Blvd E,ON,ON,M5A 1C3,Canada,Public Transportation
TTRLY- Don Yard,3/5/2019,Pedestrian Gate,1,470 Lake Shore Blvd E,ON,ON,M5A 1C3,Canada,Public Transportation
SLC Public Safety building Police and Fire (2013),,PDXT,2,475 S 300 E,Salt Lake City,UT,84111,USA,Police
MNR Dryden,,Alpha,1,479 Government St,Dryden,ON,P8N 2P6,Canada,Government Facilities
Apple - Collingwood,,Delta,1,48 Stewart Road,Collingwood,ON,L9Y 4K1,Canada,Storage Facility
StorPro Collingwood,,Alpha,1,48 Stewart Road,Collingwood,ON,L9Y 4K1,Canada,Storage Facility
Clarington Police Complex,,Delta,5,480 Taunton Road East,Whitby,ON,L1N 5R5,Canada,Police
Cummins Western - Alphas,,Alpha,2,"489 Oak Point Hwy,",Winnipeg,MB,R2R 1V2,Canada,Commercial/Industrial
Dodd's Furniture & Mattress,3/2/2020,Operator Parts,2,4900 Uplands Dr,Nanaimo,BC,V9T 6K3,Canada,Commercial/Industrial
Dodd's Furniture & Mattress,3/2/2020,Heras Hardware,1,4900 Uplands Dr,Nanaimo,BC,V9T 6K3,Canada,Commercial/Industrial
Dodd's Furniture & Mattress,3/2/2020,Delta,1,4900 Uplands Dr,Nanaimo,BC,V9T 6K3,Canada,Commercial/Industrial
Dodd's Furniture & Mattress,3/2/2020,Operator,1,4900 Uplands Dr,Nanaimo,BC,V9T 6K3,Canada,Commercial/Industrial
NS-2,9/7/2018,Gate Hardware,1,4967 North Royal Atlanta Dr,Tucker,GA,30084,USA,Rail
NS-2,9/7/2018,Pedestrian Gate,1,4967 North Royal Atlanta Dr,Tucker,GA,30084,USA,Rail
NS-2,9/7/2018,FSXT,1,4967 North Royal Atlanta Dr,Tucker,GA,30084,USA,Rail
NS-2,9/7/2018,Fold Hardware,1,4967 North Royal Atlanta Dr,Tucker,GA,30084,USA,Rail
NS-2,9/7/2018,Pedestrian Gate,1,4967 North Royal Atlanta Dr,Tucker,GA,30084,USA,Rail
Samcore 5 West Drive,5/31/2017,Delta,1,5 West Drive,Brampton,ON,L6T 4T2,Canada,Commercial/Industrial
Samcore 5 West Drive,5/31/2017,Operator,1,5 West Drive,Brampton,ON,L6T 4T2,Canada,Commercial/Industrial
ON PD - Div 33 (2012),,PDXT,2,50 Upjohn Rd,ON,ON,M3B 1V5,Canada,Police
City of Blanding -WTP,,Alpha,1,50 W 100 S.,Blanding,UT,84511,USA,Water/Hydro Plant
City of Blanding -WTP,,Operator,1,50 W 100 S.,Blanding,UT,84511,USA,Water/Hydro Plant
Encana Head Office,,Alpha,2,500 Centre Street SE,Calgary,AB,T2G 1A6,Canada,PetroChemical
Tenneco - Alpha,,Alpha,1,500 Conestoga Boulevard,OK,ON,N1R 7P6,Canada,Commercial/Industrial
"Canada Post - ON, Oakdale",,Delta,1,500 Oakdale Road,ON,ON,M3N 1W7,Canada,Government Facilities
MBuilds-Rampart,,Double Wire Welded Wire,11,500 Widlake,Winnipeg,MB,,Canada,Commercial/Industrial
MBuilds-Rampart,,Fence Hardware,56,500 Widlake,Winnipeg,MB,,Canada,Commercial/Industrial
MBuilds-Rampart,,Fence Hardware,40,500 Widlake,Winnipeg,MB,,Canada,Commercial/Industrial
Stouffville Operations Centre,,Delta,2,5061 Bethesda Road,Whitchurch,ON,L4A 7X5,Canada,Commercial/Industrial
Kinetic Machine,6/12/2018,Alpha,1,509 Mercy St,Selkirk,MB,R1A 2B2,Canada,Commercial/Industrial
Waterloo Transit,,FSXT,2,510 Dutton Drive,Waterloo,ON,N2L 4C6,Canada,Public Transportation
Waterloo Transit,,FSXT,1,510 Dutton Drive,Waterloo,ON,N2L 4C6,Canada,Public Transportation
Waterloo Transit,,Delta,2,510 Dutton Drive,Waterloo,ON,N2L 4C6,Canada,Public Transportation
Waterloo Transit,,Operator,2,510 Dutton Drive,Waterloo,ON,N2L 4C6,Canada,Public Transportation
Bike Compound,9/27/2019,Single Wire Welded Wire,8,515 Portege Ave,Winnipeg,MB,,Canada,Fulfillment Centers
BC Transit-Victoria,,PDXT,1,520 Gorge Road East,Victoria,BC,V8W 2P3,Canada,Public Transportation
BC Transit-Victoria,,Alpha,1,520 Gorge Road East,Victoria,BC,V8W 2P3,Canada,Public Transportation
TST Overland,,FSXT,1,5200 Maingate Drive,Mississauga,ON,L4W 1G5,Canada,Trucking
TST Overland,,FSXT,1,5200 Maingate Drive,Mississauga,ON,L4W 1G5,Canada,Trucking
Guelph WWTP 2016,,Alpha,1,"530 Wellington St W,",Guelph,ON,N1H 3K5,Canada,WWTP
Guelph WWTP 2016,,Operator,1,"530 Wellington St W,",Guelph,ON,N1H 3K5,Canada,WWTP
City of Guelph- Relocate and Extend Gate,4/12/2018,,1,530 Wellington Street W,Guelph,ON,N1H 8L8,Canada,WWTP
City of Guelph WWTP,,Alpha,3,530 Wellington Street W,Guelph,ON,N1H 8L8,Canada,WWTP
Merck (2014),,FSXT,2,5325 Old Oxford Road,Durham,NC,27712,USA,Commercial/Industrial
FedEx Freight - Pacific Link (2012),,PDXT,2,5421 180 St,Surrey,BC,V3S 4K5,Canada,Trucking
Viva Bus Facility,,Alpha,1,55 Orlando Avenue,Richmond Hill,ON,L4B 0B4,Canada,Public Transportation
Viva Bus Facility,,Alpha,1,55 Orlando Avenue,Richmond Hill,ON,L4B 0B4,Canada,Public Transportation
Viva Bus Facility,,Delta,1,55 Orlando Avenue,Richmond Hill,ON,L4B 0B4,Canada,Public Transportation
Viva Bus Facility,,Delta,2,55 Orlando Avenue,Richmond Hill,ON,L4B 0B4,Canada,Public Transportation
Viva Bus Facility,,Delta,1,55 Orlando Avenue,Richmond Hill,ON,L4B 0B4,Canada,Public Transportation
Viva Bus Facility,,Delta,2,55 Orlando Avenue,Richmond Hill,ON,L4B 0B4,Canada,Public Transportation
Hwy #1 Storage - Delta,,Delta,1,"55078 MB-207,","Dugald,",MB,R0E 0K0,Canada,Storage Facility
Barksdale AFB,,PDTT,1,555 Davis Avenue West,Bossier City,Louisana,71110,USA,Military/Navy
"P.S. - MONreal , 5555 Rue d'Iberville",,Delta,1,5555 Rue d'Iberville,MONreal,QC,H2G 2B2,Canada,Storage Facility
Real Storage - Black Diamond,,Delta,1,560 1st Ave NE,Black Diamond,AB,T0L 0H0,Canada,Storage Facility
RCMP - Regina (2013),6/10/2013,FSXT,1,5600 11th Avenue,Regina,SK,S4T 1G5,Canada,Police
Milton Operations Center,,Delta,1,5670 Regional Road 25,Milton,ON,L9T 6Z5,Canada,Commercial/Industrial
Niagara Police - Deltas,,Delta,2,5698 Valley Way,Niagara Falls,ON,L2E 1X8,Canada,Police
Niagara Police - Deltas,,Delta,1,5698 Valley Way,Niagara Falls,ON,L2E 1X8,Canada,Police
Niagara Police -FSXTs,1/8/2017,FSXT,2,5698 Valley Way,Niagara Falls,ON,L2E 1X8,Canada,Police
Niagara Police -FSXTs,1/8/2017,FSXT,2,5698 Valley Way,Niagara Falls,ON,L2E 1X8,Canada,Police
McCarran International (2013),,PDTT,2,5757 Wayne Newton Blvd,Las Vegas,NV,89119,USA,Aviation
Crystal Properties - St Annes Rd,,Delta,2,576 St Annes Rd,Winnipeg,MB,,Canada,Storage Facility
Husky Energy - Delta,,Delta,1,5803A 63 Ave,Lloydminster,AB,T0B 0L0,Canada,PetroChemical
"Bison Transport - Shawson Dr, Mississauga",10/18/2019,Heras Hardware,2,5850 Shawson Dr,Mississauga,ON,,Canada,Trucking
"Bison Transport - Shawson Dr, Mississauga",10/18/2019,,2,5850 Shawson Dr,Mississauga,ON,,Canada,Trucking
"Bison Transport - Shawson Dr, Mississauga",10/18/2019,,1,5850 Shawson Dr,Mississauga,ON,,Canada,Trucking
"Bison Transport - Shawson Dr, Mississauga",10/18/2019,Operator Parts,2,5850 Shawson Dr,Mississauga,ON,,Canada,Trucking
"Bison Transport - Shawson Dr, Mississauga",10/18/2019,Alpha,2,5850 Shawson Dr,Mississauga,ON,,Canada,Trucking
"Bison Transport - Shawson Dr, Mississauga",10/18/2019,Operator,2,5850 Shawson Dr,Mississauga,ON,,Canada,Trucking
New Tecumseth - Gate 3,,Delta,1,5917 7th Line,Beeton,ON,L0G 1A0,Canada,Commercial/Industrial
New Tecumseth - Gate 3,,Delta,1,5917 7th Line,Beeton,ON,L0G 1A0,Canada,Commercial/Industrial
New Tecumseth - Gate 3,,Delta,1,5917 7th Line,Beeton,ON,L0G 1A0,Canada,Commercial/Industrial
Bison - Mississauga,12/16/2016,FSXT,4,"5929 Dixie Rd,",Mississauga,ON,L4W 1E8,Canada,Trucking
Bison Transport - Mississauga,,FSXT,1,5929 Dixie Road,Mississauga,ON,L4W 1E8,Canada,Trucking
Canada Post - Richmond,4/1/2013,PDXT,6,5940 Ferguson Rd,Richmond,BC,V7B 1M6,Canada,Government Facilities
ICE-Mt Laurel,6/20/2017,Fold Hardware,1,5950 Rt 42,Turnersville,NJ,,USA,Criminal Justice
ICE-Mt Laurel,6/20/2017,,4,5950 Rt 42,Turnersville,NJ,,USA,Criminal Justice
ICE-Mt Laurel,6/20/2017,FSXT,2,5950 Rt 42,Turnersville,NJ,,USA,Criminal Justice
ICE-Mt Laurel,6/20/2017,Fold Hardware,2,5950 Rt 42,Turnersville,NJ,,USA,Criminal Justice
Terminal Gate Replacement,,Delta,1,5956-206A Street,Langley,BC,V3A 8M1,Canada,Commercial/Industrial
Operations Centre - Entrance Gate,,Alpha,1,60 14th St N,Kenora,ON,P9N 4M9,Canada,Commercial/Industrial
Rikers Island,,PDTT,6,60 Hazen St,Queens,NY,11370,USA,Criminal Justice
"Canada Post - ON , Commissioners St",,Delta,2,600 Commissioners Street,ON,ON,M4M 1N7,Canada,Government Facilities
Imperial Oil- LaMBton Fencing,,FSXT,2,602 Christina St S,Sarnia,ON,N7T 7M5,Canada,PetroChemical
Headingly Corrections (2009),,PDTT,3,6030 Portage ave,Headingley,MB,R4H 1E8,Canada,Prison/Jail
Hamilton Port Authority Boat Storage,,Alpha,1,"605 James St. North, 6th Floor",Hamilton,ON,L8L 1K1,Canada,Sea Port
Hamilton Port Authority Boat Storage,,Alpha,1,"605 James St. North, 6th Floor",Hamilton,ON,L8L 1K1,Canada,Sea Port
Hamilton Port Authority Boat Storage,,Operator,2,"605 James St. North, 6th Floor",Hamilton,ON,L8L 1K1,Canada,Sea Port
Hamilton Pier 10 and Pier 26 UPDATED,4/27/2017,PDXT,1,605 James Street North,Hamilton,ON,L8L 1K1,Canada,Sea Port
Hamilton Pier 10 and Pier 26 UPDATED,4/27/2017,PDXT,5,605 James Street North,Hamilton,ON,L8L 1K1,Canada,Sea Port
Nav Can - ON ACC,6/30/2017,FSXT,1,6055 Midfield RD,Mississauga,ON,L4W2P7,Canada,Aviation
Snapchat-office gate,,FSXT Trackless (FSXT),3,606 S. Venice Blvd,Venice,CA,90291,USA,Commercial/Industrial
GoTransit-Whitby,3/9/2018,,3,609 Victoria St East,Whitby,ON,L1N 9Z6,Canada,Public Transportation
GoTransit-Whitby,3/9/2018,PDXT,1,609 Victoria St East,Whitby,ON,L1N 9Z6,Canada,Public Transportation
GoTransit-Whitby,3/9/2018,Pedestrian Gate,2,609 Victoria St East,Whitby,ON,L1N 9Z6,Canada,Public Transportation
Nav Canada - ON Tower,6/30/2017,FSXT,1,6110 Midfield Rd,MIssissauga,ON,L4W 1S9,Canada,Aviation
Royal Storage - Guelph,,FSXT,1,612 Speedvale Avenue West,Guelph,ON,N1K 1E5,Canada,Storage Facility
Zoom Storage - Guelph,3/26/2015,FSXT,1,612 Speedvale Avenue West,Guelph,ON,N1K 1E5,Canada,Storage Facility
Power Blades Inc,,Delta,1,615 Rusholme Road,Welland,ON,L3B 6G9,Canada,Commercial/Industrial
Canada Post - Halifax,,PDXT,2,6175 Almon Road,Halifax,NS,B3K 5N0,Canada,Government Facilities
"Quik X - Mississauga, Shawson",,Alpha,1,6182 Shawson Road,Mississauga,ON,L5B 2E3,Canada,Trucking
